"PlantID","Genotype","Treatment","FW"
"1121KN258","Victoriana","control",85.6
"1121KN259","Victoriana","control",123.3
"1121KN260","Victoriana","control",134.1
"1121KN261","Victoriana","control",119.2
"1121KN262","Victoriana","stress",60.3
"1121KN263","Victoriana","stress",65.3
"1121KN264","Victoriana","stress",56.6
"1121KN265","Victoriana","stress",62.8
"1121KN266","Victoriana","stress",56.9
"1121KN267","Victoriana","stress",59.6
"1121KN268","Victoriana","stress",63.2
"1121KN269","Victoriana","stress",69
"1121KN270","Victoriana","stress",65.9
"1121KN271","Wiebke","control",108.8
"1121KN272","Wiebke","control",72.5
"1121KN273","Wiebke","control",121.4
"1121KN274","Wiebke","control",112.8
"1121KN275","Wiebke","control",110.9
"1121KN276","Wiebke","control",89.6
"1121KN277","Wiebke","control",67.3
"1121KN278","Wiebke","control",113.9
"1121KN279","Wiebke","control",84.9
"1121KN280","Wiebke","stress",55.6
"1121KN281","Wiebke","stress",56.7
"1121KN282","Wiebke","stress",56.7
"1121KN283","Wiebke","stress",57
"1121KN284","Wiebke","stress",55.8
"1121KN285","Wiebke","stress",57.3
"1121KN286","Wiebke","stress",61.2
"1121KN287","Wiebke","stress",54.5
"1121KN288","Wiebke","stress",55.6
"1121KN289","MorexDH","control",100.5
"1121KN290","MorexDH","control",102.6
"1121KN291","MorexDH","control",101.4
"1121KN292","MorexDH","control",116.4
"1121KN293","MorexDH","control",108.3
"1121KN294","MorexDH","control",104.4
"1121KN295","MorexDH","stress",50.3
"1121KN296","MorexDH","stress",49.9
"1121KN297","MorexDH","stress",51.9
"1121KN298","MorexDH","stress",44.3
"1121KN299","MorexDH","stress",42.8
"1121KN300","MorexDH","stress",52
"1121KN301","BarkeDH","control",136
"1121KN302","BarkeDH","control",127.3
"1121KN303","BarkeDH","control",118.1
"1121KN304","BarkeDH","control",140.4
"1121KN305","BarkeDH","control",99.5
"1121KN306","BarkeDH","control",141.5
"1121KN307","BarkeDH","stress",74
"1121KN308","BarkeDH","stress",72.9
"1121KN309","BarkeDH","stress",76.6
"1121KN310","BarkeDH","stress",77.9
"1121KN311","BarkeDH","stress",78.6
"1121KN312","BarkeDH","stress",76.2
"1130KN001","Apex","control",118.1
"1130KN002","Apex","control",125.8
"1130KN003","Apex","control",127.7
"1130KN004","Apex","control",129.3
"1130KN005","Apex","control",124.5
"1130KN006","Apex","control",126.1
"1130KN007","Apex","control",132.9
"1130KN008","Apex","control",126.6
"1130KN009","Apex","control",146.3
"1130KN010","Apex","stress",60.8
"1130KN011","Apex","stress",48.7
"1130KN012","Apex","stress",55
"1130KN013","Apex","stress",57.7
"1130KN014","Apex","stress",62.6
"1130KN015","Apex","stress",59.6
"1130KN016","Apex","stress",57.2
"1130KN017","Apex","stress",56.7
"1130KN018","Apex","stress",62.3
"1130KN019","Isaria","control",119
"1130KN020","Isaria","control",119.8
"1130KN021","Isaria","control",121
"1130KN022","Isaria","control",110.8
"1130KN023","Isaria","control",120.3
"1130KN024","Isaria","control",112.3
"1130KN025","Isaria","control",117.1
"1130KN026","Isaria","control",121.3
"1130KN027","Isaria","control",125.1
"1130KN028","Isaria","stress",69.3
"1130KN029","Isaria","stress",74.8
"1130KN030","Isaria","stress",74.2
"1130KN031","Isaria","stress",70.5
"1130KN032","Isaria","stress",72.3
"1130KN033","Isaria","stress",69.2
"1130KN034","Isaria","stress",70.6
"1130KN035","Isaria","stress",69.8
"1130KN036","Isaria","stress",69.8
"1130KN037","Perun","control",124
"1130KN038","Perun","control",130.7
"1130KN039","Perun","control",119.3
"1130KN040","Perun","control",62.8
"1130KN041","Perun","control",116.2
"1130KN042","Perun","control",124.7
"1130KN043","Perun","control",113.5
"1130KN044","Perun","control",121.6
"1130KN045","Perun","control",113.6
"1130KN046","Perun","stress",56.9
"1130KN047","Perun","stress",60.4
"1130KN048","Perun","stress",63.8
"1130KN049","Perun","stress",60
"1130KN050","Perun","stress",64.7
"1130KN051","Perun","stress",54.8
"1130KN052","Perun","stress",57.5
"1130KN053","Perun","stress",51.8
"1130KN054","Perun","stress",56.4
"1130KN055","Sissy","control",130.6
"1130KN056","Sissy","control",138.4
"1130KN057","Sissy","control",115.9
"1130KN058","Sissy","control",132.2
"1130KN059","Sissy","control",135.9
"1130KN060","Sissy","control",139.1
"1130KN061","Sissy","control",134.4
"1130KN062","Sissy","control",122.7
"1130KN063","Sissy","control",134.3
"1130KN064","Sissy","stress",70.4
"1130KN065","Sissy","stress",65.3
"1130KN066","Sissy","stress",65.7
"1130KN067","Sissy","stress",64.4
"1130KN068","Sissy","stress",66.4
"1130KN069","Sissy","stress",65.3
"1130KN070","Sissy","stress",67.4
"1130KN071","Sissy","stress",68.4
"1130KN072","Sissy","stress",66.3
"1130KN073","Trumpf","control",142.4
"1130KN074","Trumpf","control",130.6
"1130KN075","Trumpf","control",138.7
"1130KN076","Trumpf","control",106.3
"1130KN077","Trumpf","control",143.9
"1130KN078","Trumpf","control",133.6
"1130KN079","Trumpf","control",126.7
"1130KN080","Trumpf","control",141
"1130KN081","Trumpf","control",75.9
"1130KN082","Trumpf","stress",75.3
"1130KN083","Trumpf","stress",75.1
"1130KN084","Trumpf","stress",78.7
"1130KN085","Trumpf","stress",66.9
"1130KN086","Trumpf","stress",76.8
"1130KN087","Trumpf","stress",74.1
"1130KN088","Trumpf","stress",82.9
"1130KN089","Trumpf","stress",77.6
