"PlantID","Dataset","Genotype","Treatment","FW","DW","side.area.norm..mm.2.","side.border.length.norm..mm.","side.compactness.01..relative.","side.compactness.16..relative.","side.fluo.intensity.average..relative.","side.fluo.intensity.classic.sum","side.height.norm..mm.","side.hull.circumcircle.d..px.","side.hull.fillgrade..percent.","side.hull.pc1","side.hull.pc2","side.leaf.count..leafs.","side.leaf.length.average.norm","side.leaf.length.sum.norm..mm.","side.leaf.width.average.norm","side.nir.intensity.average..relative.","side.nir.skeleton.intensity.average..relative.","side.vis.hue.average","side.width.norm..mm.","side.width.norm.relative","side.width.relative","top.area..px.","top.border.length..px.","top.compactness.01..relative.","top.compactness.16..relative.","top.fluo.intensity.average..relative...pix.","top.fluo.intensity.classic.sum","top.hull.circumcircle.d..px.","top.hull.fillgrade..percent.","top.hull.pc2","top.leaf.count","top.leaf.length.average","top.nir.intensity.average..relative...pix.","top.nir.intensity.sum","top.vis.hue.average","volume.fluo.iap"
"1121KN173","KN1121","Beatrix","stress",72,10.59,133326.7541,17085.16253,0.005823334,2193.285714,0.449595924,14585391.57,865.0173923,936.1302577,0.346169996,1004.142857,646.1969617,23.57142857,255.1299088,5940.218304,40.52430045,0.470155678,0.192483479,0.218348965,571.2066691,1.017311592,1.020739769,270827,22847,0.006521209,1927,0.612623962,42140528,1488.866577,0.261216203,1070.694867,27,378,0.280718715,684694,0.258072247,74420250.57
"1121KN174","KN1121","Beatrix","stress",75.1,10.56,130783.4764,15074.00744,0.007332731,1739.857143,0.469540429,15185001.71,847.3611611,932.9915248,0.328520332,968,620.7402091,21.28571429,255.2328411,5313.008276,43.23061568,0.469743326,0.238099593,0.219554666,570.2238515,1.026095253,1.029553029,270609,22951,0.006457539,1946,0.607577274,41686550,1344.756104,0.264852173,1084.985135,25,404,0.270084544,612888,0.259510869,72971258.75
"1121KN175","KN1121","Beatrix","stress",71.3,9.93,124723.0302,15422.30419,0.006621494,1907.857143,0.459495804,13970726.29,856.327216,953.2897688,0.318513329,988.2857143,707.712009,22.85714286,260.4249192,5914.975411,38.91471607,0.471470086,0.255886514,0.218919874,571.0687298,1.02399007,1.027440753,260665,19976,0.008213314,1530,0.616998845,40840721,1454.462646,0.28290363,1033.20169,22,395,0.275301879,603035,0.260184439,68299237.72
"1121KN176","KN1121","Beatrix","stress",69.6,9.75,123770.7162,14679.0872,0.007298885,1743.285714,0.466410553,14071235.29,886.5359242,966.3725935,0.305809899,1024.428571,633.4933676,18.71428571,295.3431997,5428.739355,40.95353826,0.468185933,0.234345569,0.216358759,568.3099436,1.031970152,1.035447726,236107,18568,0.008607103,1460,0.619609089,37236289,1430.218628,0.211685861,1141.105818,22,374,0.270444532,526949,0.259952535,64506009.73
"1121KN177","KN1121","Beatrix","stress",69.9,9.68,123303.7494,14259.19995,0.007740164,1652.285714,0.4714371,14408678.29,895.915797,986.0501535,0.310794359,964.5714286,628.3292786,20.85714286,247.8668471,5140.032386,42.73797622,0.47145952,0.25298203,0.223231099,578.379513,1.032813718,1.036294135,226851,19626,0.00740505,1697,0.603595052,34407646,1347.237549,0.205160322,1225.300735,22,381,0.266105458,540548,0.263341665,62990415.63
"1121KN178","KN1121","Beatrix","stress",77,10.59,133879.4958,15754.46204,0.006783989,1854,0.459284713,15034464.43,879.7768982,955.926845,0.340545601,955.5714286,626.060452,23,254.9984243,5812.486506,40.71548994,0.46988277,0.243119814,0.216505517,568.3099436,1.029948622,1.033419384,262124,20220,0.008060533,1559,0.616005103,41247316,1319.286133,0.290433095,993.7416483,28,336,0.267234652,541070,0.256931971,73518274.2
"1121KN179","KN1121","Beatrix","stress",74.7,10.54,137274.1289,16303.04666,0.006511827,1938.428571,0.460583364,15501513.71,859.7756987,967.1405727,0.341979652,1072,670.1260961,22.57142857,257.3250562,5763.93187,41.99583391,0.471006216,0.24275805,0.217233068,583.8970853,1.024299187,1.027750911,256074,20728,0.007493364,1677,0.615358045,40111206,1478.134033,0.239428679,1189.057444,27,341,0.261672344,558834,0.258933326,74507378.17
"1121KN180","KN1121","Beatrix","stress",70.1,9.96,124282.1687,14981.17428,0.007072945,1809.428571,0.471608144,14523382.29,881.9839271,996.3642229,0.312437021,1044.142857,653.1844436,18.85714286,293.1849986,5410.255488,41.35296481,0.47027643,0.21580361,0.218801848,564.5855823,1.006765052,1.010157689,257216,21064,0.007289078,1724,0.603966133,39417364,1552.43811,0.246755302,969.026701,20,470,0.272942628,676794,0.258529406,67606064.51
"1121KN181","KN1121","Djamilia","control",115.3,17.91,196910.0281,22811.29903,0.004937396,2651.142857,0.449017406,21582345.71,829.1531726,998.7661394,0.375433453,1019,906.9535771,27.14285714,294.3656214,7806.675063,43.17554598,0.466964849,0.229569598,0.207340344,733.6991724,1.056320415,1.059880046,416769,38332,0.003564928,3525,0.587796127,61672178,1633.318237,0.25796163,1461.532664,33,508,0.28823133,1126960,0.236330854,136346307.3
"1121KN182","KN1121","Djamilia","control",106.4,15.85,183597.2114,21118.78374,0.005286725,2434,0.451327179,20033346,886.2600456,1011.811863,0.336130882,992.4285714,871.7299002,27.85714286,279.6280284,7721.842389,41.4439384,0.467334912,0.235445707,0.208737427,725.5607533,1.081437342,1.085081613,390121,36654,0.003649832,3443,0.603222298,59074349,1625.127686,0.256198491,1296.93,36,466,0.286761262,1030392,0.242858264,122996736.2
"1121KN183","KN1121","Djamilia","control",110.5,15.9,174470.5806,19424.06141,0.005993439,2168.142857,0.464477142,19655401,804.3240974,936.6495972,0.372137801,1122.142857,791.0071859,23.71428571,294.5642453,6883.171405,43.15435994,0.471042315,0.227369821,0.21351726,661.4189757,1.022424813,1.025870221,386411,34425,0.004098621,3066,0.593001722,57187347,1655.037598,0.291532702,1189.18513,38,431,0.278552254,1002387,0.247394947,116325462.8
"1121KN184","KN1121","Djamilia","control",108.3,15.87,185484.125,21605.98537,0.00508726,2521.714286,0.466658804,21442187,974.6791412,1086.135882,0.347408712,1111.857143,770.2318839,24.71428571,313.1323787,7697.151253,41.57614175,0.464857918,0.201070384,0.209874477,687.3515653,0.996590114,0.999948463,371572,33577,0.004141849,3034,0.596563314,55953713,1601.221436,0.282053452,1282.225596,34,467,0.271143281,979943,0.243930453,121270754.1
"1121KN185","KN1121","Djamilia","control",117.2,17.12,197402.3012,21748.75255,0.005400205,2404.857143,0.472543924,23116283,824.6011755,973.3468192,0.388714259,879,812.2309169,27.71428571,286.7771488,7871.644476,42.03948716,0.465130768,0.216136449,0.209687265,700.3178601,1.009050585,1.012450924,435261,37914,0.003805685,3302,0.599558381,65857693,1668.958984,0.284090672,1436.669376,32,584,0.280601707,1079956,0.238971208,139686659.3
"1121KN186","KN1121","Djamilia","control",99.2,15.51,174651.054,19798.42869,0.005717602,2248.571429,0.45244485,19519535.57,807.4967015,962.9877494,0.376019553,1052.714286,805.3114663,25.42857143,267.5215799,6796.54552,43.39506005,0.468460523,0.245008342,0.200613462,660.5913398,1.001979082,1.005355591,354395,32423,0.004236807,2966,0.587758569,52712114,1624.126221,0.264267397,1179.782131,37,409,0.280048875,848023,0.23243117,111517454.1
"1121KN187","KN1121","Djamilia","control",74.4,12.06,141374.8062,16258.6302,0.007013744,1875.285714,0.456412739,16121621.86,777.4259326,875.1789028,0.371052778,1082.857143,730.3935044,20.42857143,283.7247618,5733.309344,42.51461786,0.461504804,0.153644194,0.188271993,611.209068,1.019736619,1.023172968,243164,21181,0.004090633,1844,0.586820192,36534488,1479.420166,0.233932103,1024.565186,21,471,0.258292401,617612,0.231430025,74773808.98
"1121KN188","KN1121","Djamilia","control",92,14.47,165283.6143,18081.77402,0.006571755,1987.571429,0.463389433,19306842.86,812.3245772,931.1597988,0.390566153,953.7142857,763.7422637,23.42857143,281.1294639,6558.186398,42.63539844,0.465791379,0.20702371,0.192579279,659.2119467,1.044960078,1.048481426,337022,29036,0.005024538,2501,0.59234654,50987335,1505.140991,0.253292589,1254.812099,29,469,0.268216444,919163,0.230342885,102916917.3
"1121KN189","KN1121","Djamilia","control",107.4,15.75,180285.9558,20692.55128,0.005437714,2381,0.45974877,20490250.29,801.7032506,941.2025931,0.367812643,932.5714286,853.9911366,26,294.2760448,7509.415857,41.72442087,0.466695656,0.203526232,0.202814349,730.2506897,0.973498223,0.976778756,381890,33792,0.0042028,2990,0.597665964,57611436,1762.908813,0.237896415,1467.022633,50,324,0.276721291,1064598,0.239215288,119497517.2
"1121KN190","KN1121","Djamilia","stress",67.1,8.84,116875.0307,13751.99712,0.007834606,1620.428571,0.441827757,12562340.29,730.8024469,843.8237741,0.34269747,1014,643.4048534,19.71428571,261.0063292,5010.921195,40.71131054,0.471651085,0.230403897,0.196416699,627.7617848,1.029215278,1.032683569,225004,22108,0.005785622,2172,0.574752815,32559306,1283.02356,0.234111036,1100.486359,29,352,0.265255791,477540,0.239233046,59462710.17
"1121KN191","KN1121","Djamilia","stress",66.4,8.85,115313.3689,13322.59206,0.008184773,1539.428571,0.451089918,12551974.86,853.2925513,960.0460118,0.301901989,1027.714286,724.6420461,19.28571429,249.6243196,4782.355763,41.77968809,0.471551417,0.224206541,0.201306431,671.7644237,1.02593992,1.029397173,222041,20949,0.006359499,1976,0.597981683,33433462,1583.217163,0.180793578,1240.395973,29,337,0.271979281,696252,0.243297968,58280610.16
"1121KN192","KN1121","Djamilia","stress",64.8,8.69,114972.5337,13577.64184,0.008047897,1608.285714,0.441339098,12360673.86,722.2502099,824.0021188,0.362034049,1068.142857,607.725642,21.71428571,234.0712396,4949.814082,40.26730266,0.474773735,0.246560563,0.198225374,571.3446084,0.995199226,0.998552888,202897,21128,0.005711987,2200,0.576551321,29653838,1407.168701,0.226459297,954.6463512,25,353,0.263050963,485913,0.244092164,55546891.17
"1121KN193","KN1121","Djamilia","stress",70.1,9.25,114407.8049,12370.6729,0.009874283,1344.428571,0.449436427,12552471.57,684.1789613,797.1443569,0.369667842,993.2857143,610.2060425,21,216.7773557,4490.200312,42.5575431,0.477207129,0.278964079,0.202179084,559.0680101,1.052749123,1.056296719,226298,20628,0.00668424,1880,0.581053925,33237869,1248.522827,0.29344115,1069.513462,27,359,0.264955087,524158,0.245090012,58374591.33
"1121KN194","KN1121","Djamilia","stress",62.3,8.55,112244.7869,13066.57671,0.008608163,1525.714286,0.441910148,12091834.14,683.3513254,801.1646641,0.361119919,889.4285714,585.3960137,21.14285714,231.2477422,4829.668946,40.84172575,0.47520405,0.265439382,0.197296266,564.7235217,1.006159972,1.00955057,203944,21876,0.005356509,2346,0.581857092,30056744,1413.369263,0.211428462,957.2621248,30,315,0.261566503,467830,0.244796326,54368767.54
"1121KN195","KN1121","Djamilia","stress",65.2,8.84,116837.4709,13332.66163,0.008334489,1523,0.447504527,12752888.57,674.9370277,797.5191389,0.352341279,973.2857143,678.611831,20.14285714,230.5706267,4598.620607,42.82635743,0.476953174,0.26329395,0.199161571,571.7584263,1.027989156,1.031453315,214685,21558,0.00580701,2164,0.587394756,31773091,1348.212402,0.218195548,1104.403452,24,413,0.269803808,476715,0.250653096,58064520.02
"1121KN196","KN1121","Djamilia","stress",64.3,8.57,109821.6472,12293.01307,0.009418598,1378,0.444635757,11965027.14,677.2819959,787.4042794,0.354896506,1002.428571,619.0459746,20.85714286,214.4293302,4476.820199,41.71082247,0.478364849,0.267691016,0.195676734,573.1378194,1.02756669,1.031029426,196367,18511,0.007205488,1744,0.565082248,28374586,1310.859009,0.220511461,923.2960552,21,402,0.256154899,464291,0.237196529,52197541.52
"1121KN197","KN1121","Djamilia","stress",67.6,9.24,121543.1006,14624.18736,0.007230335,1761.857143,0.442927235,12912681,843.4988605,941.217756,0.312454447,979.8571429,695.3776624,20.42857143,249.9288353,5077.132062,42.4808816,0.475568139,0.248653678,0.202355681,633.693175,1.057613963,1.061177952,238070,24965,0.004801823,2617,0.583972567,34788605,1494.237427,0.201961076,1195.22032,27,413,0.261776617,620870,0.247511292,63607816.78
"1121KN198","KN1121","Djamilia","stress",59.7,8.14,106887.3215,12714.83147,0.008569831,1517.142857,0.44645048,11606282.57,757.5626724,852.5557425,0.349885236,955.7142857,585.5153272,18.28571429,247.6083412,4457.094878,41.74891398,0.474879846,0.256482734,0.199307906,552.722802,0.995018009,0.99837106,197606,17997,0.007667096,1639,0.586137775,29219363,1247.404419,0.256762885,925.6622837,19,418,0.254529712,432138,0.247861702,50962896.09
"1121KN199","KN1121","Eunova","control",90.5,14.55,157861.1592,19701.18148,0.005175196,2468.142857,0.442233846,17626424,907.0888809,1022.852173,0.320334488,905.5714286,789.3264493,20.85714286,319.3672209,6571.980329,43.06510584,0.458147387,0.14172023,0.186163641,653.6943745,1.036430292,1.039922896,313959,25987,0.005844824,2150,0.575094125,46409008,1650.418823,0.240105446,1212.734048,28,458,0.260876578,763424,0.215573842,94872336.94
"1121KN200","KN1121","Eunova","control",91.7,14.24,160990.3431,20285.35444,0.00508175,2559,0.449460632,17995481,991.6456759,1112.945225,0.299592418,906.5714286,753.5990438,21,348.870368,7176.016553,40.67304243,0.455151835,0.125751759,0.193412023,695.765863,0.99257012,0.995914922,322881,25977,0.006015496,2089,0.594361997,48916790,1648.466553,0.243896746,1239.027917,23,512,0.263875572,902403,0.226505226,98118051.03
"1121KN201","KN1121","Eunova","control",91,13.78,164439.4512,20130.86242,0.005184189,2467.857143,0.459114262,19153690,985.852225,1113.7101,0.317808989,1085.285714,777.5403454,22.57142857,322.0839179,7200.155931,41.54280987,0.460037378,0.159620068,0.191646668,663.9018832,0.926866315,0.929989706,320778,27791,0.005220761,2407,0.585495534,48172145,1536.856079,0.258091768,1163.453915,35,347,0.265180592,826194,0.224249098,99893251.27
"1121KN202","KN1121","Eunova","control",75.9,11.5,147920.866,18206.33321,0.005701179,2244,0.451728462,16919442,923.9174763,1022.83075,0.301247653,1176.285714,751.5539136,21.28571429,293.1687234,6187.68142,42.9926496,0.458237856,0.154285921,0.188305542,667.6262445,1.030153042,1.033624493,286697,25640,0.005480319,2293,0.582264448,43168355,1681.385254,0.222289419,1237.416619,25,444,0.257144316,705028,0.219321381,84951070.73
"1121KN203","KN1121","Eunova","control",93,14.23,162731.1464,19277.43193,0.005788166,2301.714286,0.463812611,19187270,927.7797769,1037.500113,0.344886083,896.5714286,742.482614,22.42857143,305.9810246,6890.896006,42.1996418,0.460259137,0.14743323,0.193239502,630.7964496,1.007363564,1.010758218,325802,26104,0.006009742,2091,0.587318654,49377665,1735.563232,0.244754856,1227.821052,32,379,0.261527031,902841,0.222947206,99626620.65
"1121KN204","KN1121","Eunova","control",95.3,14.75,173643.4659,20616.96054,0.005366153,2464.571429,0.452082115,19516065.86,1022.544081,1121.036482,0.329840429,1000.285714,752.8980486,18.85714286,385.1911268,7205.673504,42.56905871,0.45954961,0.170018994,0.193226217,702.1110711,1.022314986,1.025760024,331033,28555,0.005102059,2463,0.588075474,49753379,1717.236328,0.214926627,1381.020838,32,408,0.260676791,821867,0.222505404,107157342.1
"1121KN205","KN1121","Eunova","control",85.5,13.15,160717.8348,20865.52717,0.004714404,2715.285714,0.451485795,18577320,912.4685139,973.7576904,0.337993047,1018.285714,726.0189084,23.42857143,308.7899103,6987.867338,42.2346024,0.46170658,0.168308507,0.189721266,670.9367878,1.07778596,1.081417926,328209,28593,0.005046735,2490,0.582106631,49217046,1657.883789,0.221903477,1295.053974,25,530,0.26349718,843660,0.218629366,98756833.88
"1121KN206","KN1121","Eunova","control",89.5,14.47,154485.972,19571.24265,0.00516069,2487,0.445792537,17259573.57,897.8469473,985.4696917,0.337847147,1027.857143,718.5481068,22.14285714,313.5308393,6730.334653,41.7177964,0.461075949,0.164301995,0.19355805,634.5208108,1.016079856,1.019503883,321083,28714,0.004895353,2567,0.582573817,47732526,1627.600098,0.237313303,1273.978068,30,429,0.265456306,849865,0.220742564,93891342.33
"1121KN207","KN1121","Eunova","control",103.1,15.99,174871.4848,20690.48219,0.005192759,2450.285714,0.448626503,19338762.29,952.0570949,1118.431466,0.309027702,1107.857143,791.6346711,26.42857143,284.5234905,7485.552357,41.35941125,0.465083103,0.20423415,0.198845371,738.3891088,0.958187617,0.961416556,367296,32345,0.004412349,2848,0.585781249,54456238,1756.311768,0.221240127,1343.895791,35,445,0.265808934,903660,0.230389955,113672376.3
"1121KN208","KN1121","Eunova","stress",52.6,8.23,103089.1204,13952.97469,0.006726463,1892.285714,0.419339918,10652299.29,736.3200192,839.2993949,0.300914061,1038.428571,623.9039813,20.28571429,241.2359177,4813.805925,39.63162472,0.459133243,0.155466373,0.188568106,563.06825,1.054791449,1.058345928,199152,19699,0.006450909,1948,0.56567828,28932204,1392.207275,0.205088597,1028.543951,25,363,0.25503211,507519,0.230436974,49343847.79
"1121KN209","KN1121","Eunova","stress",59.2,8.78,106858.4191,13920.83483,0.006960764,1814.285714,0.427236386,11791258.14,707.904522,826.9084473,0.318102755,1004.428571,655.6389934,16.42857143,304.9883873,4733.24937,40.22820593,0.471527914,0.241202197,0.183586396,593.4148974,1.029990822,1.033461727,195480,18833,0.006927437,1814,0.546843386,28687894,1355.146729,0.219174765,1077.933173,20,414,0.249589578,453664,0.222883576,50674299.29
"1121KN210","KN1121","Eunova","stress",55.8,8.45,111834.2929,13770.48099,0.007467051,1698.571429,0.446452023,12960002.43,745.4240134,830.4509277,0.354271563,1114.142857,633.836397,18.85714286,247.8800832,4608.414298,42.12299021,0.469867266,0.228487606,0.184592929,572.7240014,1.013091619,1.016505576,206189,18476,0.007592973,1655,0.557647576,30930033,1548.901611,0.221292905,1086.613805,26,322,0.240522876,443256,0.227932385,54467267.05
"1121KN211","KN1121","Eunova","stress",49.3,7.76,95312.6443,13176.23846,0.007162374,1828.857143,0.432792036,10766737.14,758.3903083,846.4996948,0.312464746,1188.285714,613.0032355,16.14285714,263.847889,4176.11251,42.05403374,0.463926079,0.20902996,0.181876928,543.0670505,1.0233736,1.026822205,166815,15007,0.009308423,1350,0.55574628,24995863,1201.273926,0.215793974,961.9184387,21,316,0.244263988,471951,0.225079504,41753790.78
"1121KN212","KN1121","Eunova","stress",48.5,7.46,94498.98191,12210.52537,0.008019109,1579.142857,0.434779695,9959133.143,754.8038863,831.2980695,0.279113724,1036.142857,650.0852608,19.14285714,220.9094097,4188.527048,41.79978082,0.464006868,0.173985839,0.192225323,590.1043541,0.987620577,0.990948701,174294,16707,0.007849076,1601,0.576451193,25729555,1216.891235,0.203320787,1122.333858,22,326,0.244791946,437453,0.224131049,42315179.78
"1121KN213","KN1121","Eunova","stress",45.3,7.48,94105.27,12790.56015,0.007249589,1739.428571,0.429842415,10254534.57,731.0783255,813.0543387,0.297603494,974.5714286,607.8853172,16.57142857,257.2938939,4197.355164,41.44281962,0.461019778,0.158799762,0.183667172,547.4811083,1.015191381,1.018612413,152378,15441,0.008034764,1564,0.55803604,22698068,1249.121826,0.183890374,1131.794149,16,403,0.230583358,368727,0.226924811,39400607.85
"1121KN214","KN1121","Eunova","stress",46.5,7.73,99598.05721,13564.81348,0.006864831,1850.285714,0.427532912,10676401.86,752.0451002,882.1947632,0.284521082,989.1428571,704.7585712,17.85714286,249.8334975,4325.638719,42.35235607,0.460297653,0.162637985,0.182981047,546.7914118,0.998170744,1.00153442,182848,18860,0.006460859,1945,0.565900725,27001398,1401.12561,0.18085149,995.3573123,17,446,0.243897121,442944,0.222405307,45679760.31
